move_number,move,best_move,evaluation,reply,board,str_reply,accurate
1,d2d4,e2e4,0.29,"[Move.from_uci('d7d5'), Move.from_uci('c2c4'), Move.from_uci('e7e6'), Move.from_uci('b1c3'), Move.from_uci('g8f6'), Move.from_uci('c1g5'), Move.from_uci('f8e7'), Move.from_uci('e2e3'), Move.from_uci('e8g8'), Move.from_uci('g1f3'), Move.from_uci('h7h6'), Move.from_uci('g5h4'), Move.from_uci('f6e4'), Move.from_uci('h4e7'), Move.from_uci('d8e7'), Move.from_uci('c4d5'), Move.from_uci('e4c3'), Move.from_uci('b2c3'), Move.from_uci('e6d5'), Move.from_uci('f1d3'), Move.from_uci('c7c5'), Move.from_uci('e1g1')]",rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,"['d7d5', 'c2c4', 'e7e6', 'b1c3', 'g8f6']",False
2,d7d5,d7d5,0.25,"[Move.from_uci('c2c4'), Move.from_uci('e7e6'), Move.from_uci('g1f3'), Move.from_uci('g8f6'), Move.from_uci('c1g5'), Move.from_uci('d5c4'), Move.from_uci('e2e4'), Move.from_uci('b7b5'), Move.from_uci('a2a4'), Move.from_uci('c7c6'), Move.from_uci('b1c3'), Move.from_uci('b5b4'), Move.from_uci('c3b1'), Move.from_uci('c8a6'), Move.from_uci('e4e5'), Move.from_uci('h7h6')]",rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,"['c2c4', 'e7e6', 'g1f3', 'g8f6', 'c1g5']",True
3,c1f4,c2c4,0.19,"[Move.from_uci('g8f6'), Move.from_uci('e2e3'), Move.from_uci('e7e6'), Move.from_uci('g1f3'), Move.from_uci('c7c5'), Move.from_uci('f1e2'), Move.from_uci('d8b6'), Move.from_uci('b1c3'), Move.from_uci('c5c4'), Move.from_uci('a1b1'), Move.from_uci('f8b4'), Move.from_uci('f3d2'), Move.from_uci('b6a5'), Move.from_uci('e3e4'), Move.from_uci('e8g8'), Move.from_uci('e1g1'), Move.from_uci('b8c6'), Move.from_uci('e4e5'), Move.from_uci('f6d7'), Move.from_uci('d2f3'), Move.from_uci('f7f6')]",rnbqkbnr/ppp1pppp/8/3p4/3P1B2/8/PPP1PPPP/RN1QKBNR b KQkq - 1 2,"['g8f6', 'e2e3', 'e7e6', 'g1f3', 'c7c5']",False
4,b8c6,g8f6,0.46,"[Move.from_uci('e2e3'), Move.from_uci('g8f6'), Move.from_uci('g1f3'), Move.from_uci('f6h5'), Move.from_uci('f4g3'), Move.from_uci('h5g3'), Move.from_uci('h2g3'), Move.from_uci('g7g6'), Move.from_uci('c2c4'), Move.from_uci('f8g7'), Move.from_uci('b1c3'), Move.from_uci('d5c4'), Move.from_uci('f1c4'), Move.from_uci('e8g8'), Move.from_uci('a1c1'), Move.from_uci('e7e5'), Move.from_uci('d4d5'), Move.from_uci('c6a5'), Move.from_uci('c4e2'), Move.from_uci('b7b6')]",r1bqkbnr/ppp1pppp/2n5/3p4/3P1B2/8/PPP1PPPP/RN1QKBNR w KQkq - 2 3,"['e2e3', 'g8f6', 'g1f3', 'f6h5', 'f4g3']",False
5,g1f3,e2e3,0.32,"[Move.from_uci('c8f5'), Move.from_uci('c2c4'), Move.from_uci('e7e6'), Move.from_uci('c4d5'), Move.from_uci('f8b4'), Move.from_uci('b1c3'), Move.from_uci('e6d5'), Move.from_uci('e2e3'), Move.from_uci('g8f6'), Move.from_uci('a1c1'), Move.from_uci('e8g8'), Move.from_uci('h2h3'), Move.from_uci('f6e4'), Move.from_uci('f1d3'), Move.from_uci('e4c3'), Move.from_uci('b2c3'), Move.from_uci('f5d3'), Move.from_uci('d1d3'), Move.from_uci('b4d6'), Move.from_uci('f4d6'), Move.from_uci('d8d6')]",r1bqkbnr/ppp1pppp/2n5/3p4/3P1B2/5N2/PPP1PPPP/RN1QKB1R b KQkq - 3 3,"['c8f5', 'c2c4', 'e7e6', 'c4d5', 'f8b4']",False
6,g8f6,c8f5,0.34,"[Move.from_uci('e2e3'), Move.from_uci('c8g4'), Move.from_uci('b1d2'), Move.from_uci('f6h5'), Move.from_uci('f4g5'), Move.from_uci('h7h6'), Move.from_uci('g5h4'), Move.from_uci('g7g5'), Move.from_uci('h2h3'), Move.from_uci('g4f5'), Move.from_uci('g2g4'), Move.from_uci('f5h7'), Move.from_uci('g4h5'), Move.from_uci('g5h4'), Move.from_uci('a2a3'), Move.from_uci('e7e6'), Move.from_uci('c2c4')]",r1bqkb1r/ppp1pppp/2n2n2/3p4/3P1B2/5N2/PPP1PPPP/RN1QKB1R w KQkq - 4 4,"['e2e3', 'c8g4', 'b1d2', 'f6h5', 'f4g5']",False
7,b1c3,e2e3,0.17,"[Move.from_uci('c8f5'), Move.from_uci('e2e3'), Move.from_uci('e7e6'), Move.from_uci('f1d3'), Move.from_uci('f5g4'), Move.from_uci('d1d2'), Move.from_uci('g4h5'), Move.from_uci('d3b5'), Move.from_uci('f6d7'), Move.from_uci('b5c6'), Move.from_uci('b7c6'), Move.from_uci('f3e5'), Move.from_uci('d7e5'), Move.from_uci('f4e5'), Move.from_uci('f7f6'), Move.from_uci('e5g3')]",r1bqkb1r/ppp1pppp/2n2n2/3p4/3P1B2/2N2N2/PPP1PPPP/R2QKB1R b KQkq - 5 4,"['c8f5', 'e2e3', 'e7e6', 'f1d3', 'f5g4']",False
8,f6h5,c8f5,0.25,"[Move.from_uci('f4d2'), Move.from_uci('h5f6'), Move.from_uci('e2e3'), Move.from_uci('e7e6'), Move.from_uci('h2h3'), Move.from_uci('f8d6'), Move.from_uci('c3b5'), Move.from_uci('d6e7'), Move.from_uci('c2c4'), Move.from_uci('a7a6'), Move.from_uci('b5c3'), Move.from_uci('f6e4'), Move.from_uci('f1d3'), Move.from_uci('d5c4'), Move.from_uci('d3c4'), Move.from_uci('e4d2'), Move.from_uci('d1d2')]",r1bqkb1r/ppp1pppp/2n5/3p3n/3P1B2/2N2N2/PPP1PPPP/R2QKB1R w KQkq - 6 5,"['f4d2', 'h5f6', 'e2e3', 'e7e6', 'h2h3']",False
9,f4e5,f4d2,-0.19,"[Move.from_uci('f7f6'), Move.from_uci('e5g3'), Move.from_uci('c8g4'), Move.from_uci('d1d3'), Move.from_uci('d8d7'), Move.from_uci('e2e4'), Move.from_uci('e8c8'), Move.from_uci('e1c1'), Move.from_uci('e7e6'), Move.from_uci('f1e2'), Move.from_uci('f8b4'), Move.from_uci('e4d5'), Move.from_uci('e6d5'), Move.from_uci('a2a3'), Move.from_uci('g4f5'), Move.from_uci('d3d2'), Move.from_uci('b4a5'), Move.from_uci('b2b4'), Move.from_uci('a5b6'), Move.from_uci('c3a4'), Move.from_uci('h5g3'), Move.from_uci('f2g3')]",r1bqkb1r/ppp1pppp/2n5/3pB2n/3P4/2N2N2/PPP1PPPP/R2QKB1R b KQkq - 7 5,"['f7f6', 'e5g3', 'c8g4', 'd1d3', 'd8d7']",False
10,f7f6,f7f6,-0.15,"[Move.from_uci('e5g3'), Move.from_uci('c8g4'), Move.from_uci('e2e3'), Move.from_uci('h5g3'), Move.from_uci('h2g3'), Move.from_uci('d8d7'), Move.from_uci('d1d3'), Move.from_uci('e8c8'), Move.from_uci('e1c1'), Move.from_uci('c8b8'), Move.from_uci('f1e2'), Move.from_uci('e7e6'), Move.from_uci('a2a3'), Move.from_uci('g4f5'), Move.from_uci('d3d2'), Move.from_uci('f5g6'), Move.from_uci('e2d3'), Move.from_uci('g6f7'), Move.from_uci('e3e4')]",r1bqkb1r/ppp1p1pp/2n2p2/3pB2n/3P4/2N2N2/PPP1PPPP/R2QKB1R w KQkq - 0 6,"['e5g3', 'c8g4', 'e2e3', 'h5g3', 'h2g3']",True
